transcode-worker-1  | {"jobId":"2","startedAt":1782931196897,"finishedAt":1782931259608,"durationMs":62711}
transcode-worker-2  | {"jobId":"1","startedAt":1782931196867,"finishedAt":1782931259915,"durationMs":63048}
transcode-worker-1  | {"jobId":"3","startedAt":1782931259608,"finishedAt":1782931321480,"durationMs":61872}
transcode-worker-2  | {"jobId":"4","startedAt":1782931259915,"finishedAt":1782931321626,"durationMs":61711}
transcode-worker-1  | {"jobId":"5","startedAt":1782931321480,"finishedAt":1782931385987,"durationMs":64507}
transcode-worker-2  | {"jobId":"6","startedAt":1782931321626,"finishedAt":1782931386197,"durationMs":64571}
transcode-worker-1  | {"jobId":"7","startedAt":1782931385987,"finishedAt":1782931448672,"durationMs":62685}
transcode-worker-2  | {"jobId":"8","startedAt":1782931386197,"finishedAt":1782931448854,"durationMs":62657}
transcode-worker-1  | {"jobId":"9","startedAt":1782931448672,"finishedAt":1782931511264,"durationMs":62592}
transcode-worker-2  | {"jobId":"10","startedAt":1782931448854,"finishedAt":1782931511555,"durationMs":62701}
transcode-worker-1  | {"jobId":"11","startedAt":1782931511264,"finishedAt":1782931575744,"durationMs":64480}
transcode-worker-2  | {"jobId":"12","startedAt":1782931511555,"finishedAt":1782931575890,"durationMs":64335}
transcode-worker-2  | {"jobId":"14","startedAt":1782931575890,"finishedAt":1782931640270,"durationMs":64380}
transcode-worker-1  | {"jobId":"13","startedAt":1782931575744,"finishedAt":1782931640273,"durationMs":64529}
transcode-worker-2  | {"jobId":"15","startedAt":1782931640270,"finishedAt":1782931704751,"durationMs":64481}
transcode-worker-1  | {"jobId":"16","startedAt":1782931640273,"finishedAt":1782931704829,"durationMs":64556}
transcode-worker-1  | {"jobId":"18","startedAt":1782931704829,"finishedAt":1782931768967,"durationMs":64138}
transcode-worker-2  | {"jobId":"17","startedAt":1782931704751,"finishedAt":1782931769089,"durationMs":64338}
transcode-worker-1  | {"jobId":"19","startedAt":1782931768967,"finishedAt":1782931834688,"durationMs":65721}
transcode-worker-2  | {"jobId":"20","startedAt":1782931769089,"finishedAt":1782931835685,"durationMs":66596}
transcode-worker-1  | {"jobId":"21","startedAt":1782931834688,"finishedAt":1782931899587,"durationMs":64899}
transcode-worker-2  | {"jobId":"22","startedAt":1782931835685,"finishedAt":1782931900307,"durationMs":64622}
transcode-worker-1  | {"jobId":"23","startedAt":1782931899587,"finishedAt":1782931964406,"durationMs":64819}
transcode-worker-2  | {"jobId":"24","startedAt":1782931900307,"finishedAt":1782931965024,"durationMs":64717}
